T3_x,T3_y,T2_x,T2_y,T1_x,T1_y,JAW_x,JAW_y,UL_x,UL_y,LL_x,LL_y
0.479074899406399,0.308951059052658,-0.211741586972316,-0.533375499750111,-0.274138622052409,-0.520154377450543,0,0,0,0,0,0
-0.386144976306483,0.428147297793169,-0.640041234159764,0.208472365261714,-0.429968196380982,0.17203427060906,0,0,0,0,0,0
0.500211183722632,0.273681194114498,0.0599856179492301,-0.178347955882184,-0.0327840688406467,0.799003324629512,0,0,0,0,0,0
-0.35522471539889,0.554952497814141,0.0198897238931774,-0.335313151938497,0.67286151009402,-0.0164317982625948,0,0,0,0,0,0
0.468185019203225,0.329951667149135,-0.110693524040884,0.708694287713538,0.325954015415663,-0.226247685670372,0,0,0,0,0,0
-0.160581004711865,0.479058828335376,0.727506554733223,0.159872926164577,-0.424160275012577,-0.0998964529935456,0,0,0,0,0,0
0,0,0,0,0,0,0.721815899167128,0.692085115942794,0,0,0,0
0,0,0,0,0,0,-0.692085115942794,0.721815899167128,0,0,0,0
0,0,0,0,0,0,0,0,0.67223833382522,-0.594901492510376,0.147217051980291,-0.415349222162569
0,0,0,0,0,0,0,0,0.599538949557832,0.720290817698206,0.343623304655894,0.060474874122269
0,0,0,0,0,0,0,0,0.321812672046864,-0.288912684034974,-0.113300842841521,0.894499292411775
0,0,0,0,0,0,0,0,-0.291693802829339,-0.209291216137429,0.920550423993708,0.153944240306932
